Tweet,Compound_Score,Sentiments
"Hello, September, send the receipt number, what is the slow snail",0.0772,Positive
"Sis reply, what's the complaint?",-0.296,Negative
visit the shop link bio send trust service jne amp shipping send jne jneindonesia jneyes jnereg jneoke sicepathalu sicepatekspres official officialmerch,0.5106,Positive
"dm please investigate incorrectly the application system is deliberately giving information in accordance with the product bargain day, good hand goods are changed to days",0.891,Positive
"Buy a package delivery service since Saturday, it's moving, guys",0.0,Neutral
please good customer service if you want to use choose free shipping anteraja wrong expedition send cs,0.6908,Positive
dear promise to serve plus know the party try to underline the sentence take a complaint it hasn't passed,0.6908,Positive
"promo sweet spicy taro chips, savory taro, sweet savory bananas, only buy bks rp thousand free shipping choose send standard anteraja jne free shipping",0.9118,Positive
"Do you really intend to work on the application, want to choose a courier, estimate the day the complaint will arrive by email, answer the estimated day of entry",-0.2263,Negative
"good recommendation, send another courier, early check, happy, then change jne, even though avoid bad things, send it",0.2263,Positive
"Min's handle is good, I love the package flowers, it doesn't move quickly, it's steady",0.7964,Positive
"Caramels just complain, sis, so that my hands get toped quickly even though the max day is really good now, tokped, I'm a long subscriber, so I'm really disappointed which merchandise the customer ordered",-0.4522,Negative
"it gets even worse, says reschedule, report that, fake photo if you can't pick up, write, lazy to work, make it beautiful, review the cooperation contract",-0.5859,Negative
"mjb, you swear, you don't know how to think positive, but how bad is the courier recomm?",-0.5499,Negative
"hello min, so send Batam goods outside Batam then the party says the tax is sent out of Batam with tax proof is it true that the receipt is for sale, no need to pay anything",0.4404,Positive
"Hello, do you know how much the tax for sending to Batam outside Batam, how about sis, if you are always taxed, the shopee is taxed, proof is taxable, thank you",0.3612,Positive
send the package now want to know the reason what day php same said between courier mention courier name end of day arrived status change between resend send now,0.0772,Positive
"mjb Sis, the estimated day limit is that if I see your package it's stuck, I suggest you immediately click on the complaint message, then select Select, ask for an investigation, send it, sis. I'll help the care team.",0.4019,Positive
"using the recommended courier from Tokopedia, just look at Jakarta day and then transfer it to unprofessional jne",-0.3612,Negative
"I want to dm a lot of dm I've replied, how come I'll take it, because the package needs to be used immediately in the morning, how about the delivery service, but absent, but what about the courier like this?",0.5267,Positive
"the seller only provides an expedition, just look for it",0.0,Neutral
which one is more agile satria sponsor yesterday goldmember,0.0,Neutral
"No need to use a courier, always take too long, the package arrives according to the name",-0.296,Negative
stuck day warehouse cilandak west jakut to south jakarta crazy day give me the no recommended expedition delivery service several times through estimation,-0.6114,Negative
so sen deker wristband on Wednesday September using the next day must be packaged until september even though it is really urgent to buy an online pharmacy pharmacy online,0.2716,Positive
kangkoeng hai sis sorry for worrying about the details of the package problem sis help infoin then dm sis thx,-0.0516,Negative
"Wow, what a shock, the trauma of the courier bothering to ask, then in the end, the goods continued to come, take over the courier, the real message was the courier, hello, tokped",-0.4939,Negative
"it's better to focus, min, solve the problem at herang Pangandaran, checkout, you don't have to always make a complaint, then please ask how often you have to do it",0.2732,Positive
"I'm sorry, some parties say that everything is fine, it's a shopee problem",0.128,Positive
couriers appoint unprofessionals to be more careful choose professional courier marketplace couriers,0.2247,Positive
very tight competition among sponsors,0.0,Neutral
Why is cooperation between goods delivered to addresses only piled up in warehouses where can't change expeditions,0.0,Neutral
update at wib superior to you,0.5423,Positive
"the day the package stuck in the new Kebayoran hub, the day since submitting a complaint, please send the package immediately, thank you",0.1531,Positive
why is it bud?,0.0,Neutral
"Dear, please consider the courier service, delete the courier, package recommendations always take long to send",0.5994,Positive
who is most waiting for the next day gold member,0.0,Neutral
"it's bad that the recommended courier takes longer to be regular, never mind, don't recommend recommendations",-0.2212,Negative
"Angry at Tokped, sometimes the quality of the goods is worth the price of the goods",-0.34,Negative
hi now admin elo via alpha naek but slow service cm dri bdg pwk aj muter cikapur sgla emg da other expedition services gosah have new features plus all consumers want to lose quickly fast ma shop before,-0.4767,Negative
"It's weird, I already know the problem is to be a recommended courier",-0.3818,Negative
"playing dice, it's better to give a jnt recommendation courier",0.5719,Positive
"like a courier recommendation to change, already sent a complaint about the Toped application, bought the item on the date it was sold, already contacted it for a second pick up",0.0772,Positive
"help me follow up my package, if you really take it seriously, why don't you want to ask for the address of the cargo of South Jakarta cs, it's really hard to really need a package",-0.0461,Negative
ask clearly for the false report of the criminal courier selling a lot of loss criminal courier act,-0.7506,Negative
the day package is clear how your responsibility is,0.3818,Positive
buy a regular car,0.0,Neutral
"Come on, seller, has ever trapped a recommendation courier to gather to make a movement, has it been a crime, or has it been sold?",-0.7845,Negative
"didu now benefits from one of the private flights, special airport transportation for road goods, online transactions, fast progress, Bukalapak, etc., via jne, jam, t, etc.",0.7964,Positive
"the written package arrived at 2 p.m., just checked the app, tracked the new clock, saw it, wrote, received, received the notification of the doorbell, contacted via whatsapp phone number, even threw the terrace",0.0772,Positive
the problem of no update concerns the evaluation report,-0.5994,Negative
Picked up by a courier jne between sm Anteraja instead of making it even more complicated for the recommendation courier,0.0,Neutral
"Package two, I've been using it for a week, even though it's the same, what if it goes bankrupt?",-0.5574,Negative
"hi, use plus, the expedition continues to send jakarta, jakarta just more days, k plus even though it says send more",0.0,Neutral
"Then I'm lazy to shop because the free shipping is using Si Slow, the package arrived one day, then the solution is the day, the waiting time, the package has passed, it's better to shopee free shipping, you can choose an auto blacklist courier, Si Slow",0.8519,Positive
"Wow, take care of the courier, admit that it's only cheap stuff, use all the investigations on the day of Tokai, it's gone, just say it's gone, ask the seller to compensate",0.8316,Positive
"Min, how much is the value, only up to gin",0.34,Positive
"I'm surprised that the online shop is cooperative, even though there's a lot of complaints, paying next day, next month, just shut up about not being on the Indonesian political stage",-0.2023,Negative
Ordered items purchased September day dm no response,-0.296,Negative
"My subscription package brings the response very slowly, more than a day, what will happen to the consumer customer using the cc abandoned service",-0.4588,Negative
snacks rambak chili chips choose courier day order pick up choose send paxel normal anteraja rides automatically work with ijo shop lion parcel jne ninja express,0.0,Neutral
"please change the name so it's slow, let's change the courier, the recommended courier, the recommended package arrives on all days",0.5994,Positive
"it is your responsibility to clearly notify the replacement of the expedition sent from September to September, the position of the moving goods",0.4019,Positive
"I suspect that it was deliberately given a lot of road last year, even though the whole seller segment is more efficient at picking up lots at once, not small sellers",0.2247,Positive
Just your name because I'm free shipping if I prefer to choose a courier when the goods are from Jabodetabek until sometimes the regular movement feels tired,0.1027,Positive
"hello, good, the free shipping feature is used to delete bad times, to make a complaint, until the complaint package doesn't work",-0.1779,Negative
"college assignment hanging with halu courier brother for the first time eating e-commerce campus cooperatives, just a little shocked when I tried to use halu, I felt the package was really halu not yet arrived at home until now",-0.2516,Negative
"The problem is fortunate to know that the marketplace plays cashflow, sends late, late, the opportunity to hold cashflow longer, the longer it takes to send, the longer the money lasts, the branding only",0.6124,Positive
"the courier kid asks about the people at home, at least chat and call when the courier takes the initiative, it's really good",0.4927,Positive
"I experienced the same thing yesterday, it's like avoiding a postage fee, so it's free. Slow delivery, you know it's too late to send goods, if you arrive tomorrow, you will get a notification",0.5688,Positive
it's better not to estimate the day it's almost a week to arrive,0.4404,Positive
"take care of your recommended courier first, there are many complaints, the responsibility for sending the package is not clear, the seller and the buyer, so it's a hassle, don't prioritize promotion",0.0299,Positive
"I want to ask for a package to send sponge cake via Jakarta to Manado, how long does it take the estimated days for the app to know the truth",0.3818,Positive
"Yes, even though using the free shipping feature, it's a lot of luck",0.8402,Positive
"Wow, check the day the goods don't move, South Jakarta cargo may need to be reviewed again, don't subscribe to the market platform because it's negligent for the delivery service",0.5859,Positive
"Change the name to the snail, there's no package until the free shipping feature makes choosing an expedition so you don't have to use it",0.2732,Positive
understand the notification of the gin order on the same date as if via arrived according to the estimated date via the city instead stuck term of cooperation follow up min,-0.25,Negative
how come the courier service lot wants to go bankrupt like being a partner checking out Monday night already Friday is stuck on the road,-0.4767,Negative
"goods invoice on September, Pdhl, South Jakarta, Tangsel, Alas, told to wait while ordering, use also on the date of solution",0.0516,Positive
"Hello, the first time I used a regular recommended courier, I got it until my hand, but I didn't change the courier. Why did I change the core, what happened to the package that passed the delivery limit",0.3612,Positive
the word red racing car kecaww,0.0,Neutral
"It's been a long time since I sent Sidoarjo, Surabaya, Monday, I arrived, I chose free shipping, Courier automatically chose",0.5106,Positive
Subscribers may be disappointed,-0.4767,Negative
"I didn't take the wae, sis, the package instead of Jakarta, it just got worse",-0.4767,Negative
I took a real home expedition because there were so many orders coming in that the package was like a data delay,0.0516,Positive
"how do you end up with the gin package, change status?",0.0,Neutral
"Dear seller, maybe when you don't have to use the expedition, subscribe to your goods until your funds are liquidated, the seller's shop gets a star because it's slow to send",0.3818,Positive
"why do you already want to go through the estimation of receipt status, gin, gin, just cc",0.0772,Positive
how come the day is over cc,0.0,Neutral
"buy goods using free shipping, real zones are free instead of using them as a result, even though expeditions often get customer complaints, they even give free slots for shipping, the main customer satisfaction",0.8779,Positive
"Thank you very much, the package arrived today, everything is great, very satisfied, poko",0.8655,Positive
wkwkwk same case,0.0,Neutral
"Hello, can I ask for help? I have to send the goods at all.",0.4019,Positive
"So courier cooperation has a lot of problems, consumer complaints about being on time, lots of delays, a lot of easy to buy, need to pay attention to the courier jerk",-0.6486,Negative
"at the end of the day it's still better than new couriers like jnt Anteraja when you buy things from an online shop like shopee, if you don't need goods, free shipping, but you need to spend a little in your pocket using jne",0.3816,Positive
the seller's revelation was really affected by the delay in sending money to buy it so it lasts longer if for example buying it immediately after the transaction lasts longer,-0.4927,Negative
"revelation, maybe pay attention to the seller's complaints, it's a big loss in front of choosing a cheap courier collaboration, so it's cheap, it's a loss to buy the item, use it quickly",-0.7717,Negative
"it's been a day of tweeting, but the receipt has responded, even though it was picked up on September, it's already really annoying to poke",-0.611,Negative
"Help send the package using the best, buy the date until now it's stuck in Jakarta, the problem is the item wants to use",0.4939,Positive
courier service package no receipt then buy it immediately send it already week more resistant East Jakarta September date contact CS solution thank you,0.3818,Positive
"choose free shipping, it's just the same as anteraja, both trouble, then I sell it, I have to pay",0.0516,Positive
"Don't use free shipping, if you want an expedition, if you use free shipping, choose just delivery, of course not a seller party",-0.0926,Negative
"read the problems with sending anteraja, etc",-0.4019,Negative
"I'm weird, I asked to buy, said the item was received, the status of sending now, it's been more than a day, change the cash, said wait for confirmation, I tried contacting CS, which way did the bot respond",-0.1779,Negative
"aahhh, the service is really bad now, the courier model is better, don't use the name just the name, the express is not good",-0.5104,Negative
"Is it true that the expedition partner just fills in the problem, Anteraja",0.0258,Positive
"You know, suddenly the Sap courier called to deliver the package, it's been more than a week until Bogor, East Jakarta",0.0,Neutral
Termination of contract with entaraja gt gt gt gt gt,0.8176,Positive
package w has been stuck for days,-0.25,Negative
ask to block as their shipment vendor the most correct,-0.4404,Negative
"Just as dilapidated, the Jogja Pamekasan package took days to arrive because it held up space even though in the past all e-commerce chose a lot of couriers like jne jnt now it's the same as between",0.3612,Positive
"choose the best antenna, always use it when the antenna is really slow",0.6369,Positive
"it's clear what the confirmation or obstacle is actually the slow response of the package, it's late for a week, the period is told to wait for the small day, detect the package system until it collects the transaction fee, just good",0.4588,Positive
shopping mamang every advertising jargon free shipping okay gaspol until bus million at the end which package is clear all packages are stuck sorting normal city just smooth until my house now it's great,0.872,Positive
"it's just a myth that it's boring to shop through if you use a courier, I guarantee you will complain that you usually use expeditions, only max days if you use snails, weigh the day, thank you",-0.0772,Negative
"In the afternoon, really take it yourself, what do you need to point out about participating in the chaos issue, so I'm worried about ordering then",-0.7334,Negative
"dear expedition service, it's true that there are many customer complaints, the goods are late, even the old status is updated, please review the work of the expedition partner, indeed insurance covers, but still the customer and seller lose",-0.2617,Negative
"it's better to use Paxel Gosend, pay a lot of money quickly until you compare it to Entaraja, it's a shame a lot of sellers use Paxel",-0.1531,Negative
palak and courier cod are accepted,0.2732,Positive
pol already subscribed plus even though goods leaving Jakarta just need working days geezzz,0.0,Neutral
The value feature of the delivery service takes a long time to send packages stuck day by day,0.1027,Positive
it's good to stop cooperating with ordering goods on dates waiting for courier status even though paying regular shipping is not free shipping,-0.2505,Negative
must immediately make a work evaluation of the stuck package on the day of the destination city,-0.25,Negative
"hello, how did you finish sending the package after a long time",0.0,Neutral
check dm package until check stuck almost more than a week,-0.25,Negative
"I bought the August date now, the bomb package, no receipt, process it immediately",0.8402,Positive
"the day the fund buys the item for sale, whether there is a demo chat, yesterday's answer was the day of responsibility",0.0,Neutral
"a suggestion not to use it for free shipping services, goods on Sundays are sorting even though they are sent in one city",0.5106,Positive
just now co got the auto cancel courier order sorry seller it's better if the seller uses free ong lazy so it takes a lot of problems,-0.0772,Negative
"Most resent buying online then sending it using it because it took so long to arrive, choose it, just help me with my package",0.1796,Positive
Buying goods must be on September until now they haven't appeared yet bought via a delivery service already complained about the date it hasn't clearly asked for a refund just went ahead and bought it offline it's really good,-0.3105,Negative
"yes, the effect is less, the courier is rich",0.743,Positive
But the problem is that soon all subscriptions won't run away if it's like this,-0.0772,Negative
"the general rif toped is stuck, my package is stuck or something",-0.4588,Negative
"I sent it since September, I haven't sent it to Sunday city",0.0,Neutral
"Measuring the shipping cost of the East Jakarta bamboo hut, Kalibata, far away from the city, the rides are only Rp. 1,000,000",0.0,Neutral
"turning back, actually I gave up on using it, I deleted the expedition list, the active recommendation courier appeared, the party's recommendation courier, then the notification went crazy",0.0772,Positive
come to the warehouse directly,0.0,Neutral
"please take a stand, so using the application for loss, the courier partner is slow to send goods, you have to give a penalty if you need to be penalized by the courier partner kick",-0.4588,Negative
"the problem with the expedition is that there are a lot of people who are self-aware that they don't use it, it's hard to buy and sell at the same time looking for a program to sell, using the pretext of the courier program, choose the todong program",-0.4767,Negative
"I'm curious to send the goods, I ask and answer, it's an operational problem, whether it's a strike",-0.2263,Negative
"dead expedition, choose an olshop expedition, don't give up looking for a way to find a recommended courier program, never check the recommended courier, the choose send page suddenly activates itself",-0.6239,Negative
kapok kapok work with the expedition of the problem of segkonkol really angry and disappointed,-0.8643,Negative
"I'm just a jerk, I already paid for the item and immediately processed it and sold it on the same day, it's been more than a week until the day arrived, the status has been completed, even though I received the item, it's useless, I also complained via the application",-0.7845,Negative
"Same delay, the package hasn't arrived yet",-0.3182,Negative
Gosah cooperates with the trash lambreta day package for the Sleman Warehouse even though important items are about to be used immediately,0.2023,Positive
"shopping & september package, no news, final order, package out, east jakarta, jakarta, parcel sorting, no wa, no answer, no answer",-0.1591,Negative
block stop being the recommended courier for delivery to Tangerang Pondok Aren a week until I know that I'll deliver the jancok myself,-0.5106,Negative
"choose free shipping, choose sis, buy non-e-commerce, send using tik-paxel, thank God it's safe, hopefully it's safe to send",0.9371,Positive
It's true that the package has been stuck there for more than a week,0.2023,Positive
help the movement package since the receipt date,0.4019,Positive
dheophe same date sorting date jakarta update update,0.0,Neutral
dheophe never trust the slow express,-0.4023,Negative
"Buy regular wear items, send North Jakarta to South Jakarta, now the news is messy",-0.3612,Negative
freight forwarding affiliation,0.0,Neutral
"Min, send via delay solution, subscribe patiently, wait for the update, diligently check the progress of sending",0.4215,Positive
"Huwaa kakaa, I was instructed to file a complaint with care, but it has not been processed, maybe you will also file a complaint, please follow up",0.1655,Positive
"Sis, I'm reliable, Shopee, Tokopedia, lgsg, I deactivated the Sunday service, the problem package, among other things, was lost, it took more days to receive it",-0.6124,Negative
seller pays buyer to replace win win solution responsibility,0.872,Positive
finally the funds are returned,0.0,Neutral
"September to now the status of the sorting place, try to complain, the response at all, and what courier feature function do you recommend?",0.0,Neutral
I swear I'm the same as jkt though,-0.0516,Negative
"It's crazy to buy items for free shipping using the September date until the day it arrives, it's better to pay",0.5267,Positive
"waiting for the estimated package date for september expedition date gin, the ig comment column is turned off, not wrong correction, even running problems",-0.0377,Negative
"Monday, the date from which it was sent, the date it arrived, it must be regular, how long it takes extraordinary",0.0,Neutral
"It's the same, bro, I have it, it's stuck, I bought the date and stopped the date, then the transfer date was jnt, haha, it's just a toped package, it's stuck for a long time, I don't know how are you now",-0.2263,Negative
"Hadeeh, so dear, I ordered September, estimated September, but September, the package status hasn't changed yet, how about follow-up?",0.2374,Positive
"Saturday, Sunday, I want to pick up, it's better",0.4939,Positive
first package now old,0.0,Neutral
"when is the delivery contract finished, it has to be finished by September until the day it's silent, just google it, there are a lot of problems",-0.4019,Negative
"free shipping if you use old expeditions, it's better to use anteraja to choose an expedition like that, you know, shopping for tokped makes it take a long time for the expedition",0.8271,Positive
min ok banned,-0.2023,Negative
"you can contact the admin, say you can't deliver the courier, resign, it's useless to pay the postage, order it to pick it up yourself, the distance to the address to the office, you guys are right",-0.6808,Negative
hello admin update send invoice number inv mpl no receipt week goods received solution help sell thank you not yet,0.6808,Positive
cs jnt already swears at twitter wkwkwk,0.0516,Positive
"Just complain about insurance, send it",-0.3612,Negative
"Istighfar I've been using it for a long time, it's sad that the pen nages every hour checks the track, I know that, I use free shipping, once it's arrived, it's the same time",0.0516,Positive
"when you shop, use free shipping, you know that the next courier can't replace it, or if the package has been lost, the auto tokped package",0.25,Positive
the package is about to take the day the courier even says it failed to pick up even though the courier came how did,-0.5106,Negative
"Very disappointed with Tokopedia Anabul, I eat, come, it's been a week, then order when you check, it's finished, it's a mess, send",-0.7089,Negative
"Sis, I suggest you just change the delivery service, sis, just replace it, sis, click on the picture, it's really bad, instead you end up handing over the courier package, just closing the shop, brother.",-0.5849,Negative
"Sis, I suggest you just change the delivery service, sis, just replace it, sis, click on the picture, it's really bad, instead you end up handing over the courier package, just closing the shop, brother.",-0.5849,Negative
"Change free shipping for goods Sunday bomb news I swear when it comes in dented condition, I return it anteraja",-0.0258,Negative
"Min, how about Tokopedia, how do I change the expedition, I want to use it, instead it automatically keeps using it. Now it's really slow, until Sunday, before the warehouse rots",0.0772,Positive
"plus looking at Instagram tagging using a recommended courier, the reg said over, jne, jnt, really clear",0.5709,Positive
Complaint Sunday update receipt number via,-0.2263,Negative
"I'm really tired of using it, I have to review this expedition, the problem is that I cancel buying and selling, it's dangerous, min, if it's just busy",-0.8748,Negative
"Min, I asked for an investigation of the cent of the item when it arrived, I received the house person, I had time to make proof of the package, immediately brought it with the courier",0.0,Neutral
"shopping with the courier had stopped tracking the status of the september date it turned out that the september date was cool, thank you hopefully",0.6808,Positive
"dear, please consider cooperating with the package delivery service, it has started to really serve the cs response",0.5994,Positive
"send the date of the recommended courier, when do you want to send all pending dates, call this, call the recommended courier, service at a loss, buy and sell",0.1531,Positive
"Check dm min for the package from September until now there is no news, at least it's clear where the contents of dry food are",0.1027,Positive
My heart is wrong,0.2732,Positive
dear i don't know how to contact cs doesn't help even on whatsapp,0.088,Positive
"Hi, min. Receipt of buying goods, sending, sept, sept estimation, now, sept, moving to East Jakarta, what happened to the package, min",0.0,Neutral
"Where did my package arrive in a week, even though in Tegal, Jakarta, the seller paid when it was finished, just a demo courier, just demo, but don't send the package, don't lose the package",0.438,Positive
"Dilemma, Sis, sell early, just be patient because I joined the free shipping service on the day the status is gone, never mind forcing it to be deactivated, I'm really tired of complaining since the end of July, it's been a lot late",-0.3933,Negative
Pls package the date until now it's clear it's better to shop orange no later than a day until it's going to be Sunday,0.5574,Positive
"even though the pick up courier is good, the pick up is fast, the bell goes until waiting for kalimalang many times yesterday, I was patient with the lost status, forced me to close the service first",-0.34,Negative
"huhh buy items & items sent late, everything is fine",0.2023,Positive
"How come you're tired, it's good to shop for a courier, it's recommended to send slow",0.2023,Positive
"For a long time, I used anteraja to send it, suddenly the detection of anteraja was real, the booking code & JNE was real, added myself, chose a recommended courier",0.2023,Positive
"The thread of the chronology of ordering goods through the order of the coming Sunday, how to track the destination",0.0,Neutral
kalau shopee nonaktif buat or whatever shit is about to go down real quick,-0.5574,Negative
"hello admin, as a partner, I want to investigate a lot, send a lot, even though the week is longer, I have a lot of experiences and help, how do I continue to break up with partners?",0.4588,Positive
filing a complaint via internal investigation takes working days lol,0.1531,Positive
courier recommendation makes you confused when picked up between jne and picked up between jne,-0.3182,Negative
"hi hepizen, I'm very happy to help you, always on the level of service delivery, don't forget to contact sis and then dm bro, the problem is ready to help bro, thanks yh",0.9189,Positive
it's better to just break up with high school colleagues instead of hurting consumers,0.0516,Positive
just do not bear the month,0.0,Neutral
"Never shopped using a courier, it arrived when I checked the receipt, it was written out how do you know btw I shopped normally, gin",0.0,Neutral
"haduuuh use it on Friday the bomb arrived in one province, you know",0.6124,Positive
"order a dry snack on aug, send depok pasming, use it with service now, haven't rotated to order a laptop seat on september, use service, septet date already anteraja, I've seen it fixed",0.0,Neutral
"confused about the wise expedition, deliberately choosing the right thing, sending it via ground courier haul estimated Sunday more Jakarta to Sumatra hadehh",0.2023,Positive
yesterday's investigation just now d bls at the resolution center,0.0,Neutral
"don't use the delivery service, God eats the heart, the wait is far away, the estimate is that you need goods on purpose, you bought it long ago, even in a hurry, the main enemy is really the same",0.4215,Positive
"return the money for the lost goods on the expedition, don't want to lose to shopee, hey hey, there are lots of real victims",-0.3744,Negative
"Just change the name to a razor blade, send it stuck, the date is surprised, the update, wa, replies to IG, closes comments, follows up replies",-0.0258,Negative
your dog wa reply ig reply report reply to work package arrived date,0.0,Neutral
"wow, the date sent is stuck, just call CS, I want to change the name of the courier, not a razor blade",0.4767,Positive
"using it for an expedition partner, it's bad, sending it, yes, the package holds the date until now, the date cs is difficult to contact, it makes me angry",-0.765,Negative
free postage use isn't it,0.5106,Positive
"bro, want to ask, send a status update",0.0772,Positive
"Also, I already know that it's not working, even if the free shipping system chooses my package, it's been clear for a week",0.7096,Positive
"Min, help first, admin, but how did you receive the outgoing package, bro?",0.5647,Positive
"Min, it's better to focus on completing the complaint, the package arrived, the courier said the version was good",0.5574,Positive
hi dm asking for the position of the package since wednesday september immediately asking for a check thank you,0.3612,Positive
it's true that classes using couriers always make me disappointed just like a courier,0.296,Positive
"I'm really going to switch shops with good couriers, they're tired, I make complaints and then check out",-0.4019,Negative
"Wow, the Pangandaran lake day package takes hours by private vehicle, so choose a good courier",0.7884,Positive
demand seller buyer only one day to stop working together to make it worse,-0.7003,Negative
"hello min seller, shopee, give information about the natural slow latch between packages in the Jabodetabek area because there are so many buyer complaints from the store",-0.1189,Negative
"It's worth it yesterday Monday, next day coming Sunday, salute for returning the postage money",0.2263,Positive
maybe deactivate it before sending the package using my picture so I'm hesitant to use free shipping I'm afraid to send it later yesterday it just arrived in Jakarta Jakarta,0.2551,Positive
"really bullshit asking to chat via dm for free, my solution is to chat via wa, just answer it with a grandiose template, php in it, even though it's gala cs when you ask, it's crazy slow because the goods & already past the estimate qt told to wait for cc",0.228,Positive
really sad where is the child's milk,-0.5256,Negative
"what happens to the package via admin, promise the max date of arrival, please help ri",0.743,Positive
"order on september until now the date of arrival, what do you think about the warehouse package",0.0,Neutral
"Think about it, if you want to use a courier, give the right solution, say help follow up, help report the courier, the results are really disappointed at the same time",0.5584,Positive
"let's just block the victim, just me",-0.6124,Negative
"Yesterday I bought a Samsung authorized store on expedition, thank God it's safe for the free keyboard. Help claim with CS by wa. Estimated days of arrival",0.91,Positive
"please, it's clear that the Sunday package instead got the news from the regional expeditionary office where it was closed, the news was even playing throwing, the receipt news tracked where the non-COD package was",0.6908,Positive
"I'm really tired of protesting so that I can stop using it for free first. I want the day when the goods will be sent to Mars, what do you do",-0.5936,Negative
"Admin is really slow, if sending is slow, it's normal, please understand, admin cs can respond quickly, buy it so slow because of the expedition",0.3182,Positive
"stop shopping because of the lot, just throw it away, the courier is safe",0.1779,Positive
"How are you, the package, it's clear, Sunday, the word bring a courier, the warehouse said, the seller is the same, there is no follow-up, the consumer is looking for himself as a customer, very disappointed",-0.4576,Negative
"it's true that the fast expedition really deserves to be slow, it's really sending jne, the economy is other, it's safe, it's good, the shop just stops",0.7906,Positive
"Min, please understand",0.3182,Positive
"I know that Anteraja Swift is the fastest ride between there, Bapuq",0.2023,Positive
"I'm confused, I want to contact the cs number, don't call the wa number, cs answer the robot, the package is stuck on Sundays, I don't want to move on, South Jakarta, South Jakarta, Allah",-0.3863,Negative
hello sis evaluation I sent the goods on the same date as Jabodetabek until the second the package arrived past the deadline of course my system is active the courier,0.4019,Positive
"what about complaining just starting work now, if you work, it's better to resign as a partner",-0.0772,Negative
"Usually, free shipping coupons, even though you pay more for the item, you get free shipping as a result, the seller is affected",0.6808,Positive
"the package, wow, the delivery is using a moving horse and the expedition is like this",0.743,Positive
please don't use it to bother,-0.0258,Negative
"it's really hard, sis, chat, advise buying suddenly, star review, old courier, seller rating, buy reckless like that, I hope you just make fun of the comments section",0.6494,Positive
"because in order to actively understand all expeditions, the buyer's account is toped, the gold member, the selling account, and the silver, have started to actively buy and sell, the marketplace is too lazy to use it, it already has a big name like jne & postal, far less than the duration of the package arriving, appeal first",0.5574,Positive
"I already know that there are a lot of problems with free shipping, even if I prefer to use it, it's better to choose an expedition",0.5423,Positive
"he seems to protect the estimation of normal delivery, the day of the residency yesterday became the day",0.3818,Positive
"Hello, set up a new free shipping courier, it's reliable, add an expedition, just enter the free shipping feature",0.765,Positive
"Does the courier feature turn off the service before the management is good, the package is stuck until the update week",0.2263,Positive
options send time delete either buy sell,0.0,Neutral
Cooperative business advice with disaster,-0.6249,Negative
"It's better to just break up with the free courier, the shipping is original, it's trash, it's really a week to send a second-hand Jakarta, a second-hand one, until you arrive",0.8176,Positive
"I have a few packages that haven't cleared at the longest to send the date of the agt order, all via selecting alternative couriers, if via shopee, I'm free to choose an expedition",0.4596,Positive
really strong fyi,0.688,Positive
"like choosing a service, even though it's free shipping, change the schedule, arrive, expectations are given up",0.7003,Positive
"to be honest, it's really bad, it's really slow to use it for free, even though it used to be when I used it, it was a lot worse",-0.0754,Negative
